feature,importance
CASP3,5.487746791605133e-20
CCNC,5.482613258591472e-20
HDAC9,5.462079126536822e-20
CXCL11,5.441544994482172e-20
TOX,5.421010862427522e-20
RASGRP3,5.349141400236248e-20
HLA-DPB1,5.349141400236248e-20
LPL,5.3388743342089234e-20
AK4,5.328607268181598e-20
PYCR1,5.3080731361269486e-20
IFIT1,5.297806070099624e-20
TLR2,5.287539004072299e-20
TRAF2,5.267004872017649e-20
MYSM1,5.2567378059903247e-20
CARD16,5.236203673935675e-20
SIGLEC5,5.215669541881025e-20
AHR,5.2054024758537e-20
FOXO1,5.1848683437990505e-20
PIK3CD,5.1848683437990505e-20
TIMP1,5.1694677447580634e-20
HDAC7,5.154067145717076e-20
GZMH,5.1335330136624266e-20
CD45RA,5.112998881607777e-20
SMARCA4,5.112998881607777e-20
LPAR1,5.051396485443827e-20
IGHG1,4.9795270232525536e-20
IL12A,4.9692599572252285e-20
TBK1,4.9692599572252285e-20
CD226,4.958992891197904e-20
IGHG2,4.943592292156917e-20
DVL1,4.938458759143254e-20
CXCL8,4.804986900788031e-20
CD6,4.789586301747044e-20
KIR2DL3/4,4.712583306542107e-20
DTX4,4.712583306542107e-20
CDC20,4.681782108460133e-20
ALOX5,4.6715150424328077e-20
PSMD6,4.661247976405483e-20
IDO1,4.661247976405483e-20
ACSL4,4.645847377364496e-20
TELO2,4.6099126462688586e-20
RAC1,4.599645580241534e-20
FAS,4.599645580241534e-20
GATA3,4.5483102501049096e-20
TPSAB1/B2,4.399437792708699e-20
NFKBIE,4.353235995585737e-20
PSMC6,4.3513109207056144e-20
E2F2,4.348102462572075e-20
PDCD1LG2,4.342968929558413e-20
CD19,4.33783539654475e-20
CMKLR1,4.291633599421788e-20
FUT4,4.276233000380801e-20
DGKZ,4.230031203257839e-20
LILRA3,4.2197641372305146e-20
SESN2,4.214630604216852e-20
FOXO3,4.199230005175865e-20
RAG1,4.16842880709389e-20
CD160,4.1478946750392404e-20
IL10,4.1382693006386237e-20
TNFRSF18,4.137627609011916e-20
ELOVL3,4.1273605429845907e-20
ELOVL7,4.1273605429845907e-20
FCGR3A/B,4.109393177436772e-20
GATA6,4.106826410929941e-20
CCNB1,4.0965593449026165e-20
CD96,4.0862922788752913e-20
SF3B1,4.0657581468206416e-20
ITGAX,4.0554910807933165e-20
CXCR6,4.045224014765992e-20
E2F5,4.045224014765992e-20
SOS1,4.045224014765992e-20
GZMM,4.024689882711342e-20
FAM30A,4.022123116204511e-20
NFE2L2,4.0195563496976797e-20
CR2,3.9887551516157055e-20
SESN3,3.963087486547393e-20
IL6ST,3.906618623397107e-20
LDHAL6A,3.901485090383444e-20
GLS2,3.901485090383444e-20
GADD45A,3.901485090383444e-20
PTPRJ,3.860416826274145e-20
TNF,3.8501497602468196e-20
TRGV9,3.849508068620112e-20
PPP2R5B,3.8244820951785074e-20
KLRB1,3.8193485621648454e-20
KLRC2/3,3.8193485621648454e-20
S1PR1,3.8193485621648454e-20
CTF1,3.8116482626443515e-20
TRAC,3.778280298055546e-20
CHUK,3.747479099973571e-20
FCER2,3.7166779018915963e-20
ATM,3.7166779018915963e-20
ENTPD1,3.7166779018915963e-20
NFATC2,3.6961437698369467e-20
HGF,3.6910102368232847e-20
CBL,3.6807431707959595e-20
PTPRK,3.655075505727647e-20
IKZF1,3.644808439700323e-20
CDKN1C,3.6345413736729976e-20
BCL2,3.6345413736729976e-20
CACNB4,3.614007241618348e-20
PPARG,3.588339576550036e-20
PRKCB,3.5729389775090485e-20
NFKB1,3.5729389775090485e-20
CSH2/GH2,3.552404845454399e-20
ACSL3,3.547271312440736e-20
TNFSF9,3.5421377794270743e-20
KLRC1,3.539571012920243e-20
FCGR1A/B,3.531870713399749e-20
PTGR1,3.531870713399749e-20
GBP2,3.4702683172358e-20
PLCG1,3.457434484701644e-20
CPA3,3.429200053126501e-20
HIPK1,3.408665921071851e-20
JAK3,3.3881317890172014e-20
BCL2L1,3.3881317890172014e-20
IL1RN,3.362464123948889e-20
NRAS,3.347063524907902e-20
CSF1,3.336796458880577e-20
LDHA,3.32139585983959e-20
PPP3R1,3.316262326825927e-20
UBE2D1,3.213591666552679e-20
NKG7,3.146855737375067e-20
HDC,3.100653940252106e-20
CD70,3.080119808197456e-20
PSMA6,3.0287844780608315e-20
TBL1XR1,3.008250346006182e-20
NOTCH2,2.997983279978857e-20
MS4A4A,2.9825826809378696e-20
FCRL2,2.9569150158695573e-20
ELOVL4,2.915846751760258e-20
NFAT5,2.895312619705608e-20
PCTP,2.8439772895689844e-20
HMGB1,2.833710223541659e-20
PTGER4,2.833710223541659e-20
FPR1,2.8131760914870095e-20
AKT3,2.79264195943236e-20
BTRC,2.79264195943236e-20
TBX21,2.782374893405035e-20
ACOT1/2,2.779808126898204e-20
GBP3,2.7515736953230605e-20
TCL1A,2.720772497241086e-20
LCK,2.6694371671044617e-20
GNLY,2.6181018369678375e-20
PRKDC,2.5924341718995252e-20
TYROBP,2.587300638885863e-20
PTPN18,2.587300638885863e-20
IL10RA,2.587300638885863e-20
PSMA1,2.5462323747765636e-20
ASB4,2.5256982427219136e-20
CDC16,2.5256982427219136e-20
ACAT2,2.5205647097082513e-20
LRRK2,2.4743629125852894e-20
SLC2A12,2.4666626130647958e-20
UHRF1,2.43329464847599e-20
BTK,2.4153272829281716e-20
TLR10,2.361425186284716e-20
GRB10,2.299822790120767e-20
DLD,2.2844221910797796e-20
CCNA1,2.2690215920387925e-20
DGKA,2.2587545260114677e-20
ACACA,2.238220393956818e-20
YWHAZ,2.2228197949158306e-20
SLC8A1,2.2125527288885057e-20
HLA-DRA,2.1612173987518815e-20
KLRD1,2.130416200669907e-20
SEL1L,2.1047485356015947e-20
HLA-DPA1,2.1047485356015947e-20
CHEK1,2.09448146957427e-20
NCF4,2.0739473375196202e-20
TLR1,2.068813804505958e-20
TOX4,2.0636802714922953e-20
ANGPT1,2.0328790734103208e-20
LILRB4,1.9918108093010214e-20
MX1,1.9250748801234098e-20
LCP2,1.889140149027773e-20
IRAK3,1.8788730830004482e-20
CEBPD,1.8788730830004482e-20
LEPR,1.8275377528638236e-20
